,Listing #,host_is_superhost,accommodates,bedrooms,bathrooms_number,beds,num_amenities,number_of_reviews,instant_bookable,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,income,price,log_price
25788,38755516,1,1,1.0,1.0,1.0,20,17,0,0,0,1,0,0,0,1,50985,39.0,3.6635616461296463
25789,38756007,0,2,1.0,1.0,1.0,21,0,1,0,1,0,0,0,0,1,31406,50.0,3.912023005428146
25790,38771017,0,3,1.0,1.0,2.0,13,1,0,0,0,1,0,1,0,0,50985,95.0,4.553876891600541
25791,38774302,0,2,1.0,1.0,1.0,4,6,1,0,0,0,1,0,0,1,31992,95.0,4.553876891600541
25792,38774455,0,2,1.0,1.0,1.0,6,6,1,0,0,0,1,0,0,1,31992,95.0,4.553876891600541
25793,38774525,0,2,1.0,1.0,1.0,12,9,1,0,0,0,1,0,0,1,31992,95.0,4.553876891600541
25794,38774972,0,2,1.0,1.0,1.0,25,6,0,0,1,0,0,0,0,1,31406,55.0,4.007333185232471
25795,38775304,0,2,0.0,1.0,0.0,18,1,0,0,0,0,1,1,0,0,31992,120.0,4.787491742782046
25796,38776786,0,4,1.0,1.0,3.0,16,1,0,0,0,0,1,1,0,0,31992,140.0,4.941642422609304
25797,38778264,0,1,0.0,1.0,0.0,20,0,0,0,1,0,0,0,0,1,31406,38.0,3.6375861597263857
25798,38778580,0,8,3.0,2.0,4.0,43,20,0,0,1,0,0,1,0,0,31406,134.0,4.897839799950911
25799,38779228,0,9,3.0,2.0,4.0,43,24,0,0,1,0,0,1,0,0,31406,165.0,5.10594547390058
25800,38779756,0,5,2.0,1.0,3.0,22,2,0,0,1,0,0,1,0,0,31406,175.0,5.1647859739235145
25801,38780326,1,2,0.0,1.0,1.0,23,9,0,0,1,0,0,1,0,0,31406,75.0,4.31748811353631
25802,38787352,1,2,1.0,1.0,1.0,19,5,1,0,0,1,0,1,0,0,50985,199.0,5.293304824724492
